gcc_ratio,graph_id,graph_type,method,remove_ratio,removed_edges,split
0.0782608695652174,football,real,Expanded oracle top-5 h1,0.4828711256117455,296,real_external_test
0.0782608695652174,football,real,Expanded oracle top-5 h1,0.48450244698205547,297,real_external_test
0.0782608695652174,football,real,Expanded oracle top-5 h1,0.48613376835236544,298,real_external_test
0.0782608695652174,football,real,Expanded oracle top-5 h1,0.48776508972267535,299,real_external_test
0.0782608695652174,football,real,Expanded oracle top-5 h1,0.4893964110929853,300,real_external_test
0.0782608695652174,football,real,Expanded oracle top-5 h1,0.4910277324632953,301,real_external_test
0.0782608695652174,football,real,Expanded oracle top-5 h1,0.4926590538336052,302,real_external_test
0.0782608695652174,football,real,Expanded oracle top-5 h1,0.49429037520391517,303,real_external_test
0.0782608695652174,football,real,Expanded oracle top-5 h1,0.49592169657422513,304,real_external_test
0.0782608695652174,football,real,Expanded oracle top-5 h1,0.49755301794453505,305,real_external_test
0.0782608695652174,football,real,Expanded oracle top-5 h1,0.499184339314845,306,real_external_test
0.0782608695652174,football,real,Expanded oracle top-5 h1,0.5008156606851549,307,real_external_test
0.0782608695652174,football,real,Expanded oracle top-5 h1,0.5024469820554649,308,real_external_test
0.0782608695652174,football,real,Expanded oracle top-5 h1,0.5040783034257749,309,real_external_test
0.0782608695652174,football,real,Expanded oracle top-5 h1,0.5057096247960848,310,real_external_test
0.0782608695652174,football,real,Expanded oracle top-5 h1,0.5073409461663948,311,real_external_test
0.0782608695652174,football,real,Expanded oracle top-5 h1,0.5089722675367048,312,real_external_test
0.0782608695652174,football,real,Expanded oracle top-5 h1,0.5106035889070146,313,real_external_test
0.0782608695652174,football,real,Expanded oracle top-5 h1,0.5122349102773246,314,real_external_test
0.0782608695652174,football,real,Expanded oracle top-5 h1,0.5138662316476346,315,real_external_test
0.0782608695652174,football,real,Expanded oracle top-5 h1,0.5154975530179445,316,real_external_test
0.0782608695652174,football,real,Expanded oracle top-5 h1,0.5171288743882545,317,real_external_test
0.0782608695652174,football,real,Expanded oracle top-5 h1,0.5187601957585645,318,real_external_test
0.0782608695652174,football,real,Expanded oracle top-5 h1,0.5203915171288744,319,real_external_test
0.0782608695652174,football,real,Expanded oracle top-5 h1,0.5220228384991843,320,real_external_test
0.0782608695652174,football,real,Expanded oracle top-5 h1,0.5236541598694943,321,real_external_test
0.0782608695652174,football,real,Expanded oracle top-5 h1,0.5252854812398042,322,real_external_test
0.0782608695652174,football,real,Expanded oracle top-5 h1,0.5269168026101142,323,real_external_test
