gcc_after,gcc_before,gcc_delta,graph_id,graph_type,method,num_unique_candidates,remove_ratio,rollout_depth,rollout_edges,selected_source_method,selected_source_rank,split,step,u,v
0.9591836734693877,0.9591836734693877,0.0,synthetic_test_000,sbm,Expanded oracle top-5 h1,16,0.06128133704735376,1,1-188,M5 dynamic edge betweenness,1,synthetic_test,66,1,188
0.9591836734693877,0.9591836734693877,0.0,synthetic_test_000,sbm,Expanded oracle top-5 h1,19,0.06220984215413185,1,114-188,M5 dynamic edge betweenness,1,synthetic_test,67,114,188
0.9591836734693877,0.9591836734693877,0.0,synthetic_test_000,sbm,Expanded oracle top-5 h1,19,0.06313834726090993,1,148-188,M5 dynamic edge betweenness,1,synthetic_test,68,148,188
0.9591836734693877,0.9591836734693877,0.0,synthetic_test_000,sbm,Expanded oracle top-5 h1,22,0.06406685236768803,1,132-188,M5 dynamic edge betweenness,1,synthetic_test,69,132,188
0.9591836734693877,0.9591836734693877,0.0,synthetic_test_000,sbm,Expanded oracle top-5 h1,21,0.06499535747446611,1,159-168,M5 dynamic edge betweenness,1,synthetic_test,70,159,168
0.9591836734693877,0.9591836734693877,0.0,synthetic_test_000,sbm,Expanded oracle top-5 h1,22,0.06592386258124419,1,168-174,M5 dynamic edge betweenness,1,synthetic_test,71,168,174
0.9540816326530612,0.9591836734693877,0.005102040816326481,synthetic_test_000,sbm,Expanded oracle top-5 h1,23,0.06685236768802229,1,168-188,M5 dynamic edge betweenness,1,synthetic_test,72,168,188
0.9540816326530612,0.9540816326530612,0.0,synthetic_test_000,sbm,Expanded oracle top-5 h1,19,0.06778087279480037,1,179-187,M5 dynamic edge betweenness,1,synthetic_test,73,179,187
0.9540816326530612,0.9540816326530612,0.0,synthetic_test_000,sbm,Expanded oracle top-5 h1,19,0.06870937790157845,1,161-176,M5 dynamic edge betweenness,1,synthetic_test,74,161,176
0.9540816326530612,0.9540816326530612,0.0,synthetic_test_000,sbm,Expanded oracle top-5 h1,20,0.06963788300835655,1,157-189,M5 dynamic edge betweenness,1,synthetic_test,75,157,189
0.9540816326530612,0.9540816326530612,0.0,synthetic_test_000,sbm,Expanded oracle top-5 h1,21,0.07056638811513463,1,9-187,M5 dynamic edge betweenness,1,synthetic_test,76,9,187
0.9540816326530612,0.9540816326530612,0.0,synthetic_test_000,sbm,Expanded oracle top-5 h1,20,0.07149489322191271,1,1-187,M5 dynamic edge betweenness,1,synthetic_test,77,1,187
0.9540816326530612,0.9540816326530612,0.0,synthetic_test_000,sbm,Expanded oracle top-5 h1,19,0.07242339832869081,1,151-188,M5 dynamic edge betweenness,1,synthetic_test,78,151,188
0.9540816326530612,0.9540816326530612,0.0,synthetic_test_000,sbm,Expanded oracle top-5 h1,19,0.0733519034354689,1,92-161,M5 dynamic edge betweenness,1,synthetic_test,79,92,161
0.9540816326530612,0.9540816326530612,0.0,synthetic_test_000,sbm,Expanded oracle top-5 h1,22,0.07428040854224698,1,8-187,M5 dynamic edge betweenness,1,synthetic_test,80,8,187
0.9540816326530612,0.9540816326530612,0.0,synthetic_test_000,sbm,Expanded oracle top-5 h1,21,0.07520891364902507,1,162-187,M5 dynamic edge betweenness,1,synthetic_test,81,162,187
0.9540816326530612,0.9540816326530612,0.0,synthetic_test_000,sbm,Expanded oracle top-5 h1,23,0.07613741875580315,1,161-188,M5 dynamic edge betweenness,1,synthetic_test,82,161,188
0.9540816326530612,0.9540816326530612,0.0,synthetic_test_000,sbm,Expanded oracle top-5 h1,20,0.07706592386258125,1,187-188,M5 dynamic edge betweenness,1,synthetic_test,83,187,188
0.9489795918367347,0.9540816326530612,0.005102040816326481,synthetic_test_000,sbm,Expanded oracle top-5 h1,22,0.07799442896935933,1,157-188,M5 dynamic edge betweenness,1,synthetic_test,84,157,188
0.9489795918367347,0.9489795918367347,0.0,synthetic_test_000,sbm,Expanded oracle top-5 h1,21,0.07892293407613742,1,163-165,M5 dynamic edge betweenness,1,synthetic_test,85,163,165
0.9489795918367347,0.9489795918367347,0.0,synthetic_test_000,sbm,Expanded oracle top-5 h1,22,0.07985143918291551,1,165-175,M5 dynamic edge betweenness,1,synthetic_test,86,165,175
0.9489795918367347,0.9489795918367347,0.0,synthetic_test_000,sbm,Expanded oracle top-5 h1,20,0.0807799442896936,1,161-165,M5 dynamic edge betweenness,1,synthetic_test,87,161,165
0.9438775510204082,0.9489795918367347,0.005102040816326592,synthetic_test_000,sbm,Expanded oracle top-5 h1,22,0.08170844939647168,1,165-187,M5 dynamic edge betweenness,1,synthetic_test,88,165,187
0.9438775510204082,0.9438775510204082,0.0,synthetic_test_000,sbm,Expanded oracle top-5 h1,21,0.08263695450324977,1,67-173,M5 dynamic edge betweenness,1,synthetic_test,89,67,173
0.9438775510204082,0.9438775510204082,0.0,synthetic_test_000,sbm,Expanded oracle top-5 h1,17,0.08356545961002786,1,131-173,M5 dynamic edge betweenness,1,synthetic_test,90,131,173
0.9438775510204082,0.9438775510204082,0.0,synthetic_test_000,sbm,Expanded oracle top-5 h1,22,0.08449396471680594,1,11-173,M5 dynamic edge betweenness,1,synthetic_test,91,11,173
0.9438775510204082,0.9438775510204082,0.0,synthetic_test_000,sbm,Expanded oracle top-5 h1,19,0.08542246982358404,1,85-173,M5 dynamic edge betweenness,1,synthetic_test,92,85,173
