active_source_count,actual_remove_ratio,checkpoint_step,checkpoint_target_ratio,current_gcc_node_count,dataset_group,exact_m5_score_at_removed,exact_m5_score_mean,graph_id,graph_name,kendall_rank_correlation,method,pearson_score_correlation,precision_at_10pct,precision_at_1pct,precision_at_5pct,recall_at_10pct,recall_at_1pct,recall_at_5pct,removed_node,removed_node_m5_rank,removed_node_m5_rank_percentile,removed_node_m5_top_10pct,removed_node_m5_top_1pct,removed_node_m5_top_5pct,sampled_score_at_removed,sampled_score_mean,seed,source_budget,source_set_hash,spearman_rank_correlation,top_10pct_overlap,top_1pct_overlap,top_5pct_overlap
64,0.2,21,0.2,81,synthetic45,622.8095238095239,149.1728395061728,synthetic_test_034,synthetic_test_034,0.9312519709870704,SASB-N-degree-source,0.9933247082675388,0.8888888888888888,1.0,1.0,0.8888888888888888,1.0,1.0,86,1,0.0,True,True,True,984.7690476190477,225.83950617283952,20260513,64,dee2a0c6a1cac504,0.9875382349609154,0.8888888888888888,1.0,1.0
23,0.29523809523809524,31,0.3,23,synthetic45,103.5,30.347826086956523,synthetic_test_034,synthetic_test_034,1.0,SASB-N-degree-source,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11,1,0.0,True,True,True,207.0,60.69565217391305,20260513,64,621a3c7679c57edc,1.0,1.0,1.0,1.0
2,0.4952380952380953,52,0.5,2,synthetic45,0.0,0.0,synthetic_test_034,synthetic_test_034,0.0,SASB-N-degree-source,0.0,1.0,1.0,1.0,1.0,1.0,1.0,13,1,0.0,True,True,True,0.0,0.0,20260513,64,f81528001d8353cf,0.0,1.0,1.0,1.0
64,0.0,0,0.0,105,synthetic45,1067.8261801078745,72.45714285714288,synthetic_test_034,synthetic_test_034,0.8787545787545787,SASB-N-degree-source,0.9925919022299248,0.9090909090909092,1.0,0.8333333333333334,0.9090909090909092,1.0,0.8333333333333334,0,1,0.0,True,True,True,1320.4680978337374,80.84761904761903,20260514,64,949c2edc3748e649,0.9709413228281152,0.9090909090909092,1.0,0.8333333333333334
64,0.10476190476190476,11,0.1,92,synthetic45,423.3888330795453,101.38043478260867,synthetic_test_034,synthetic_test_034,0.8726053639846746,SASB-N-degree-source,0.9704110775083872,0.8,0.0,0.8,0.8,0.0,0.8,14,2,0.01098901098901099,True,False,True,557.7128884531362,129.98913043478257,20260514,64,f0d64d5b82494d35,0.9702341498003793,0.8,0.0,0.8
64,0.2,21,0.2,81,synthetic45,622.8095238095239,149.1728395061728,synthetic_test_034,synthetic_test_034,0.9312519709870704,SASB-N-degree-source,0.9933247082675388,0.8888888888888888,1.0,1.0,0.8888888888888888,1.0,1.0,86,1,0.0,True,True,True,984.7690476190477,225.83950617283952,20260514,64,dee2a0c6a1cac504,0.9875382349609154,0.8888888888888888,1.0,1.0
23,0.29523809523809524,31,0.3,23,synthetic45,103.5,30.347826086956523,synthetic_test_034,synthetic_test_034,1.0,SASB-N-degree-source,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11,1,0.0,True,True,True,207.0,60.69565217391305,20260514,64,621a3c7679c57edc,1.0,1.0,1.0,1.0
2,0.4952380952380953,52,0.5,2,synthetic45,0.0,0.0,synthetic_test_034,synthetic_test_034,0.0,SASB-N-degree-source,0.0,1.0,1.0,1.0,1.0,1.0,1.0,13,1,0.0,True,True,True,0.0,0.0,20260514,64,f81528001d8353cf,0.0,1.0,1.0,1.0
64,0.0,0,0.0,105,synthetic45,1067.8261801078745,72.45714285714288,synthetic_test_034,synthetic_test_034,0.8787545787545787,SASB-N-degree-source,0.9925919022299248,0.9090909090909092,1.0,0.8333333333333334,0.9090909090909092,1.0,0.8333333333333334,0,1,0.0,True,True,True,1320.4680978337374,80.84761904761903,20260515,64,949c2edc3748e649,0.9709413228281152,0.9090909090909092,1.0,0.8333333333333334
64,0.10476190476190476,11,0.1,92,synthetic45,423.3888330795453,101.38043478260867,synthetic_test_034,synthetic_test_034,0.8726053639846746,SASB-N-degree-source,0.9704110775083872,0.8,0.0,0.8,0.8,0.0,0.8,14,2,0.01098901098901099,True,False,True,557.7128884531362,129.98913043478257,20260515,64,f0d64d5b82494d35,0.9702341498003793,0.8,0.0,0.8
