dataset_group,graph_id,initial_source_jaccard,left_label,left_method,left_source_count,right_label,right_method,right_source_count,seed
realworld_completed,ia_enron_only,0.5238095238095238,structured,SASB-N-structured,64,degree-source,SASB-N-degree-source,64,20260513
realworld_completed,ia_enron_only,1.0,structured,SASB-N-structured,64,frozen-source,SASB-N-frozen-source,64,20260513
realworld_completed,ia_enron_only,0.3473684210526316,random-source,SASB-N-random-source,64,degree-source,SASB-N-degree-source,64,20260513
realworld_completed,ia_enron_only,0.30612244897959184,random-source,SASB-N-random-source,64,frozen-source,SASB-N-frozen-source,64,20260513
realworld_completed,ia_enron_only,0.5238095238095238,degree-source,SASB-N-degree-source,64,frozen-source,SASB-N-frozen-source,64,20260513
realworld_completed,ia_enron_only,0.24271844660194175,structured,SASB-N-structured,64,random-source,SASB-N-random-source,64,20260514
realworld_completed,ia_enron_only,0.5238095238095238,structured,SASB-N-structured,64,degree-source,SASB-N-degree-source,64,20260514
realworld_completed,ia_enron_only,1.0,structured,SASB-N-structured,64,frozen-source,SASB-N-frozen-source,64,20260514
realworld_completed,ia_enron_only,0.30612244897959184,random-source,SASB-N-random-source,64,degree-source,SASB-N-degree-source,64,20260514
realworld_completed,ia_enron_only,0.24271844660194175,random-source,SASB-N-random-source,64,frozen-source,SASB-N-frozen-source,64,20260514
realworld_completed,ia_enron_only,0.5238095238095238,degree-source,SASB-N-degree-source,64,frozen-source,SASB-N-frozen-source,64,20260514
realworld_completed,ia_enron_only,0.23076923076923078,structured,SASB-N-structured,64,random-source,SASB-N-random-source,64,20260515
realworld_completed,ia_enron_only,0.5421686746987951,structured,SASB-N-structured,64,degree-source,SASB-N-degree-source,64,20260515
realworld_completed,ia_enron_only,1.0,structured,SASB-N-structured,64,frozen-source,SASB-N-frozen-source,64,20260515
