dataset_group,method,removed_ratio,gcc_ratio
synthetic45,SASB,0.23,0.675348242382546
synthetic45,SASB,0.24,0.6482533775512541
synthetic45,SASB,0.25,0.6350619255969835
synthetic45,SASB,0.26,0.6098837400299435
synthetic45,SASB,0.27,0.5918427865524222
synthetic45,SASB,0.28,0.5823553693920095
synthetic45,SASB,0.29,0.558890544907796
synthetic45,SASB,0.3,0.5365169235078212
synthetic45,SASB,0.31,0.521485006240358
synthetic45,SASB,0.32,0.49489327966795216
synthetic45,SASB,0.33,0.4476973471611378
synthetic45,SASB,0.34,0.4409160396664417
synthetic45,SASB,0.35000000000000003,0.42282510855083344
synthetic45,SASB,0.36,0.4038970403580071
synthetic45,SASB,0.37,0.3924403621198523
synthetic45,SASB,0.38,0.3888011674930971
synthetic45,SASB,0.39,0.37743520723097895
synthetic45,SASB,0.4,0.35122361331726043
synthetic45,SASB,0.41000000000000003,0.3396634065950298
synthetic45,SASB,0.42,0.3339598277561826
synthetic45,SASB,0.43,0.31219399731216385
synthetic45,SASB,0.44,0.2921359407278607
synthetic45,SASB,0.45,0.27279364620898694
synthetic45,SASB,0.46,0.2641761108530569
synthetic45,SASB,0.47000000000000003,0.2551109334251394
synthetic45,SASB,0.48,0.23941183270494018
synthetic45,SASB,0.49,0.22152981448486814
synthetic45,SASB,0.5,0.2091591316268538
synthetic45,SASB,0.51,0.1988023926180641
synthetic45,SASB,0.52,0.1804711170577736
synthetic45,SASB,0.53,0.17193141051649954
synthetic45,SASB,0.54,0.16323965269136514
synthetic45,SASB,0.55,0.15126865245372326
synthetic45,SASB,0.56,0.14203539575675955
synthetic45,SASB,0.5700000000000001,0.13134469651678504
synthetic45,SASB,0.58,0.12042724912861179
synthetic45,SASB,0.59,0.11360095288944637
synthetic45,SASB,0.6,0.10713140946359988
synthetic45,SASB,0.61,0.09925669930790977
synthetic45,SASB,0.62,0.09374983500304603
synthetic45,SASB,0.63,0.0859367715463281
synthetic45,SASB,0.64,0.07879388715582689
synthetic45,SASB,0.65,0.07333285690603016
synthetic45,SASB,0.66,0.06760612173311736
synthetic45,SASB,0.67,0.06204522844185145
synthetic45,SASB,0.68,0.056595759280123975
synthetic45,SASB,0.6900000000000001,0.05344824171637102
synthetic45,SASB,0.7000000000000001,0.049389225761492114
synthetic45,SASB,0.71,0.0459138435780693
synthetic45,SASB,0.72,0.042360500228175765
synthetic45,SASB,0.73,0.04060431534096219
synthetic45,SASB,0.74,0.037961579945671134
synthetic45,SASB,0.75,0.03532552874771328
synthetic45,SASB,0.76,0.03332510440833494
synthetic45,SASB,0.77,0.03179437316739613
synthetic45,SASB,0.78,0.030223827601075184
synthetic45,SASB,0.79,0.028064710202391666
synthetic45,SASB,0.8,0.02759600815566949
