avg_degree,candidate_rank_min,candidate_source_count,clustering_product,clustering_u,clustering_v,community_internal_edges_u,community_internal_edges_v,community_internal_product,community_pair_edges,community_size_product,community_size_u,community_size_v,current_edges,current_gcc_ratio,current_nodes,degree_abs_diff,degree_max,degree_min,degree_product,degree_sum,degree_u,degree_v,density,gcc_delta,graph_id,graph_type,is_inter_community,m4_score,m7_score,m8_score,n,node_betweenness_product,node_betweenness_u,node_betweenness_v,num_communities,pagerank_product,pagerank_u,pagerank_v,remove_ratio,same_community,source_bridge,source_m2,source_m4,source_m5,source_m7,source_m8,source_random,split,step,u,v,damage_rank
7.9753086419753085,3,1,0.09506172839506173,0.3055555555555556,0.3111111111111111,79,57,4503,9,391,23,17,646,1.0,162,1,10,9,90,19,9,10,0.049536078521585765,0.0,train_000,ws,1,500.3333333333333,43.44444444444444,3910.0,162,0.002274300184622207,0.03503683189619261,0.06491169610769949,8,4.99303671974591e-05,0.006799674326064445,0.007343052740932976,0.0030864197530864196,0,0,1,0,0,0,0,0,train,2,14,29,1
7.9753086419753085,4,1,0.12962962962962965,0.4166666666666667,0.3111111111111111,57,57,3249,0,289,17,17,646,1.0,162,1,10,9,90,19,9,10,0.049536078521585765,0.0,train_000,ws,0,0.0,0.0,0.0,162,0.0009806825301478168,0.015107948011721932,0.06491169610769949,8,4.96556407033305e-05,0.006762261208683826,0.007343052740932976,0.0030864197530864196,1,0,1,0,0,0,0,0,train,2,23,29,1
7.9753086419753085,5,1,0.09506172839506173,0.3111111111111111,0.3055555555555556,57,94,5358,3,459,17,27,646,1.0,162,1,10,9,90,19,10,9,0.049536078521585765,0.0,train_000,ws,1,1786.0,153.0,13770.0,162,0.0019666424740023575,0.06491169610769949,0.03029719745328122,8,4.9738222037430106e-05,0.007343052740932976,0.006773507394298054,0.0030864197530864196,0,0,1,0,0,0,0,0,train,2,29,71,1
7.9753086419753085,1,3,0.16765873015873017,0.3611111111111111,0.4642857142857143,94,76,7144,1,594,27,22,646,1.0,162,1,9,8,72,17,9,8,0.049536078521585765,0.0,train_000,ws,1,7144.0,594.0,42768.0,162,0.0009944753940422989,0.04203943282939113,0.023655775711299058,8,4.2119267375469626e-05,0.006749238173959822,0.0062405957961264216,0.0030864197530864196,0,0,0,1,0,1,1,0,train,2,76,129,1
7.9753086419753085,2,3,0.19047619047619047,0.38095238095238093,0.5,94,67,6298,1,540,27,20,646,1.0,162,1,8,7,56,15,7,8,0.049536078521585765,0.0,train_000,ws,1,6298.0,540.0,30240.0,162,0.0009050436156368709,0.03142916857551606,0.02879629518236501,8,3.430423944535058e-05,0.005471828916253786,0.00626924561611413,0.0030864197530864196,0,0,0,1,0,1,1,0,train,2,70,114,1
7.9753086419753085,2,3,0.21924603174603174,0.4722222222222222,0.4642857142857143,71,76,5396,1,462,21,22,646,1.0,162,1,9,8,72,17,9,8,0.049536078521585765,0.0,train_000,ws,1,5396.0,462.0,33264.0,162,0.000728555603956223,0.03152710183402192,0.02310886702468842,8,4.213744057102124e-05,0.0067741122678622815,0.006220363481563412,0.0030864197530864196,0,0,0,1,0,1,1,0,train,2,82,130,1
7.9753086419753085,4,2,0.17687074829931973,0.38095238095238093,0.4642857142857143,67,50,3350,1,320,20,16,646,1.0,162,1,8,7,56,15,7,8,0.049536078521585765,0.0,train_000,ws,1,3350.0,320.0,17920.0,162,0.002020541857887185,0.06219609573600504,0.03248663495637239,8,3.489533493505746e-05,0.005594765718725116,0.006237139621104473,0.0030864197530864196,0,0,0,1,0,1,0,0,train,2,120,153,1
7.9753086419753085,1,4,0.10582010582010581,0.2777777777777778,0.38095238095238093,49,67,3283,1,320,16,20,646,1.0,162,2,9,7,63,16,9,7,0.049536078521585765,0.0,train_000,ws,1,3283.0,320.0,20160.0,162,0.004348593660853664,0.06991747005007394,0.06219609573600504,8,3.8494000709786926e-05,0.006880359722830107,0.005594765718725116,0.0030864197530864196,0,0,0,1,1,1,1,0,train,2,44,120,1
7.9753086419753085,2,1,0.2222222222222222,0.4444444444444444,0.5,79,76,6004,2,506,23,22,646,1.0,162,1,9,8,72,17,9,8,0.049536078521585765,0.0,train_000,ws,1,3002.0,253.0,18216.0,162,0.0016923124608190826,0.04702723646553993,0.035985794361085954,8,4.207506455691007e-05,0.006801825748885357,0.006185848639801612,0.0030864197530864196,0,0,0,0,1,0,0,0,train,2,15,141,1
7.9753086419753085,3,1,0.20238095238095236,0.4722222222222222,0.42857142857142855,71,67,4757,11,420,21,20,646,1.0,162,1,9,8,72,17,9,8,0.049536078521585765,0.0,train_000,ws,1,432.45454545454544,38.18181818181818,2749.090909090909,162,0.002043712222421952,0.047098062943245235,0.04339270226218633,8,4.2922500504002094e-05,0.006849615331186816,0.006266410364472981,0.0030864197530864196,0,0,0,0,1,0,0,0,train,2,89,121,1
