dataset,graph_id,method,candidate_policy,seed,removed_edges,source_count_min,source_count_max,source_count_mean,source_count_median,true_source_traversal_count
synthetic45,synthetic_test_003,Structure-matched-candidate,structure_matched,20260513,1123,2.0,32.0,28.11487088156723,32.0,31573
synthetic45,synthetic_test_004,Random-size-matched-candidate,random_size_matched,20260513,204,2.0,32.0,21.80392156862745,32.0,4448
synthetic45,synthetic_test_004,SASB-candidate,sasb,20260513,204,2.0,32.0,21.186274509803923,32.0,4322
synthetic45,synthetic_test_004,Structure-matched-candidate,structure_matched,20260513,204,2.0,32.0,21.225490196078432,32.0,4330
synthetic45,synthetic_test_005,Random-size-matched-candidate,random_size_matched,20260513,767,2.0,32.0,28.544980443285528,32.0,21894
synthetic45,synthetic_test_005,SASB-candidate,sasb,20260513,767,2.0,32.0,25.891786179921773,32.0,19859
synthetic45,synthetic_test_005,Structure-matched-candidate,structure_matched,20260513,767,2.0,32.0,26.86571056062581,32.0,20606
synthetic45,synthetic_test_006,Random-size-matched-candidate,random_size_matched,20260513,206,2.0,32.0,12.927184466019416,9.0,2663
synthetic45,synthetic_test_006,SASB-candidate,sasb,20260513,206,2.0,32.0,13.514563106796116,9.0,2784
synthetic45,synthetic_test_006,Structure-matched-candidate,structure_matched,20260513,206,2.0,32.0,13.019417475728156,9.0,2682
synthetic45,synthetic_test_007,Random-size-matched-candidate,random_size_matched,20260513,661,2.0,32.0,30.328290468986385,32.0,20047
synthetic45,synthetic_test_007,SASB-candidate,sasb,20260513,661,2.0,32.0,27.931921331316182,32.0,18463
synthetic45,synthetic_test_007,Structure-matched-candidate,structure_matched,20260513,661,2.0,32.0,28.50680786686838,32.0,18843
synthetic45,synthetic_test_008,Random-size-matched-candidate,random_size_matched,20260513,325,2.0,32.0,21.135384615384616,32.0,6869
synthetic45,synthetic_test_008,SASB-candidate,sasb,20260513,325,2.0,32.0,21.393846153846155,32.0,6953
synthetic45,synthetic_test_008,Structure-matched-candidate,structure_matched,20260513,325,2.0,32.0,20.71692307692308,32.0,6733
synthetic45,synthetic_test_009,Random-size-matched-candidate,random_size_matched,20260513,348,2.0,32.0,22.24137931034483,32.0,7740
synthetic45,synthetic_test_009,SASB-candidate,sasb,20260513,348,2.0,32.0,21.419540229885055,32.0,7454
synthetic45,synthetic_test_009,Structure-matched-candidate,structure_matched,20260513,348,2.0,32.0,21.451149425287355,32.0,7465
synthetic45,synthetic_test_010,Random-size-matched-candidate,random_size_matched,20260513,220,2.0,32.0,19.15,22.0,4213
synthetic45,synthetic_test_010,SASB-candidate,sasb,20260513,220,2.0,32.0,18.71818181818182,20.0,4118
synthetic45,synthetic_test_010,Structure-matched-candidate,structure_matched,20260513,220,2.0,32.0,18.46818181818182,18.0,4063
synthetic45,synthetic_test_011,Random-size-matched-candidate,random_size_matched,20260513,1098,2.0,32.0,26.96812386156649,32.0,29611
