dataset,dataset_label,graph_id,method,candidate_policy,seed,steps,initial_candidate_count,candidate_count_mean,candidate_fraction_mean,inter_community_ratio_mean,boundary_ratio_mean,bridge_ratio_mean,low_cn_ratio_mean,matched_feature_difference_mean,strict_match_count,degree_only_match_count,community_only_match_count,fallback_count,initial_candidate_hash,initial_source_node_hash
realworld_completed,realworld24,inf_euroroad,SASB-candidate,sasb,20260513,1305,251,19.24904214559387,0.934701672526809,0.15523770516561575,0.15523770516561575,0.737487405662354,0.9994934546811812,0.0,0,0,0,0,800977fb2c431f5973b6a9c8768cd89863e828efec88b5c469e4c6231adcfdd9,2f375455dab96b0d0686335f1f85ad94fa14e304e1526789723d32757983a2b7
realworld_completed,realworld24,inf_euroroad,Structure-matched-candidate,structure_matched,20260513,1305,251,19.480459770114944,0.9342957211454146,0.157392521154467,0.157392521154467,0.7383502898237224,0.9996013578943899,0.0,25422,0,0,0,0b63f1c7accc4a9fe3af2ec27a3bf8d4a08ad6d7bf890600b326636ea70bdda3,2f375455dab96b0d0686335f1f85ad94fa14e304e1526789723d32757983a2b7
realworld_completed,realworld24,inf_power,Random-size-matched-candidate,random_size_matched,20260513,6594,512,24.685471640885655,0.9215740175460706,0.1309608961846888,0.1309608961846888,0.7077975700012404,0.9649979253379111,0.044195458378404405,0,0,0,0,fb36cfbee5cbe3aac078e705bfd7a46808a37266c834ef1dc2a01d1e67d69793,5f200548fa63e5257c25f8d781d5e35bfe8fa6094dafeeb9de78d66ecc04400d
realworld_completed,realworld24,inf_power,SASB-candidate,sasb,20260513,6594,512,22.795875037913255,0.9312105243775651,0.15629809308409212,0.15629809308409212,0.6846372195457539,0.9632335764330121,0.0,0,0,0,0,0634f8a7776597a5fd8e3a9e686a0bf45f144c8f03a7f01b0f3090288ee3a076,5f200548fa63e5257c25f8d781d5e35bfe8fa6094dafeeb9de78d66ecc04400d
realworld_completed,realworld24,inf_power,Structure-matched-candidate,structure_matched,20260513,6594,512,22.48589626933576,0.9309872977140036,0.1560936658300317,0.1560936658300317,0.683151877861524,0.960790186627649,0.0,148272,0,0,0,798c235f726b4b2641ff9c024002484aa967895d9bef69fa6bd7c552435dd1e9,5f200548fa63e5257c25f8d781d5e35bfe8fa6094dafeeb9de78d66ecc04400d
realworld_completed,realworld24,inf_usair97,Random-size-matched-candidate,random_size_matched,20260513,2126,268,154.50611476952022,0.24640318755857682,0.34786885898615505,0.34786885898615505,0.07645672763178918,0.7451325350157291,0.5344071915377714,0,0,0,0,1b545d07a644835e8e554dd208eefcc6087f8786f0d8ad4f4943005ab5535365,c3e44823514d4dfeac7aab4c3a3b99bde5761c85df970a32e978d102e5ab311f
realworld_completed,realworld24,inf_usair97,SASB-candidate,sasb,20260513,2126,268,153.42991533396048,0.3671838650818508,0.5834384548038494,0.5834384548038494,0.09868555621959454,0.8839736785119616,0.0,0,0,0,0,e48b3b06a8fb6a17e97d4da2157076591f2ea25a36d38d41507a9b6643adef1d,c3e44823514d4dfeac7aab4c3a3b99bde5761c85df970a32e978d102e5ab311f
realworld_completed,realworld24,inf_usair97,Structure-matched-candidate,structure_matched,20260513,2126,268,155.78974600188147,0.36119050838424527,0.6814706913090979,0.6814706913090979,0.1061658447103431,0.8736100581191353,0.0,331209,0,0,0,78e55126d9e2f8ea05147fac27edfab3ddcbdc73e001aeb2a7b5013bc0209f6e,c3e44823514d4dfeac7aab4c3a3b99bde5761c85df970a32e978d102e5ab311f
realworld_completed,realworld24,rt_retweet,Random-size-matched-candidate,random_size_matched,20260513,117,64,12.623931623931623,0.9714820432478751,0.11483432388895057,0.11483432388895057,0.8773951714541808,0.9800382929079475,0.01798433048433048,0,0,0,0,79f6365f71d2d8812d9f98ea82f7172ad157cff421295322ed4a09d89189497d,86f974db1223ef053794a0576b6987b0a0b88b47f5f73f565371bf33fca31936
realworld_completed,realworld24,rt_retweet,SASB-candidate,sasb,20260513,117,64,12.333333333333334,0.9735558147684948,0.12472968678325183,0.12472968678325183,0.869956467284603,0.9754483787436291,0.0,0,0,0,0,0a5ac2e45c5ade101a7bccbbda86b38fefebff33f7af1cb9286b60e6b209914f,86f974db1223ef053794a0576b6987b0a0b88b47f5f73f565371bf33fca31936
